Feature,Importance
Crop_Encoded,1238
Year,486
Latitude,226
Longitude,198
lat_long_interaction,158
State_Encoded,127
clay_pct,80
tmin_growing_avg,74
rh_growing_avg,49
long_squared,48
lat_squared,47
County_Encoded,34
tavg_growing_avg,33
moisture_stress,32
tmax_growing_avg,27
extreme_heat_flag,25
temp_variability,24
temp_prcp_interaction,19
prcp_growing_total,16
temp_range_avg,15
gdd_total,13
heat_stress_days,10
ph,10
silt_pct,8
sand_pct,1
gdd_per_day,1
loam_index,1
cec,0
bulk_density,0
organic_matter_pct,0
awc,0
soil_quality_score,0
Year_Since_Start,0
Year_Squared,0
