Feature,Importance
Crop_Encoded,0.779892950867095
Year_Since_Start,0.028643910481985595
Year,0.02809166766476716
Year_Squared,0.026888147410917634
State_Encoded,0.02627970318471429
tmin_growing_avg,0.0253027392039576
lat_long_interaction,0.014100380703447834
Longitude,0.01247190171206323
long_squared,0.009339092123902042
Latitude,0.008193485131996083
lat_squared,0.007622709282287053
rh_growing_avg,0.004160079898203494
tmax_growing_avg,0.00350147999376993
temp_range_avg,0.0034328053714572544
temp_variability,0.0031431765113838334
County_Encoded,0.0031297799433092064
moisture_stress,0.0029305490051572043
temp_prcp_interaction,0.0028146996546659416
prcp_growing_total,0.0020393806512359635
tavg_growing_avg,0.0016714012410784867
gdd_per_day,0.001229451967053639
extreme_heat_flag,0.001224939998574523
gdd_total,0.0011744438989118207
heat_stress_days,0.0005746532298067065
ph,0.0003976347123520472
clay_pct,0.00027684472852628145
sand_pct,0.00026414227699516127
soil_quality_score,0.00023961502491829463
silt_pct,0.00023198917230048659
cec,0.00017866733680542115
bulk_density,0.0001756072689385801
awc,0.00016970338196959004
organic_matter_pct,0.00011825093793688386
loam_index,9.401602751565772e-05
