Model,R²,RMSE,MAE,MAPE (%),Within 10%,Training Time (s),Complexity,Interpretability,Type
Random Forest,0.9862978430449821,124.46443181753025,44.79062036626827,36.93504592717979,40.31937928545651,2345.0,Medium,Medium,Ensemble/Advanced
Catboost,0.9846278647878783,131.83110424317616,52.63806027147897,48.839681092975326,24.75640562973656,22.9,Medium,Medium,Ensemble/Advanced
Gradient Boosting,0.9831877217542895,137.8681907713859,51.99830584177291,46.083113123877155,31.559003969686035,1608.0,Medium,Medium,Ensemble/Advanced
Decision Tree,0.9800374463434486,150.23075164716448,56.450456237872665,45.437831871579206,24.341392998917357,111.0,Medium,Medium,Classical ML
Voting Ensemble,0.9781623222531365,157.1281576525037,96.66312432198255,93.58428389576112,4.790689281847708,63.0,Very High,Low,Ensemble/Advanced
Lightgbm,0.9774616632787809,159.6289744091612,61.087872597707346,55.60008037720553,24.603031396607722,24.0,Medium,Medium,Ensemble/Advanced
Xgboost,0.9418274612680979,256.4541909346165,224.45227584012878,282.580221074782,2.9953085528690004,30.0,Medium,Medium,Ensemble/Advanced
K-Nn,0.9005668917116831,335.28667946079884,105.76473008011217,81.18170617071375,26.15481775532299,420.0,Medium,Medium,Ensemble/Advanced
Stacking Ensemble,0.7156878324697222,566.9549025654215,184.268895339198,129.23460540336495,17.755322988090942,487.0,Very High,Low,Ensemble/Advanced
Ridge Regression,0.1397932826008762,986.1709534796207,428.53739254758204,451.3982128856823,3.690003608805485,0.7,Low,High,Classical ML
Linear Regression,0.13565117214881728,988.5424319665798,455.31796287169607,503.8483590720828,3.2840129916997474,0.0,Low,High,Classical ML
[BASELINE] Mean,-0.021025663168005915,1074.4077217912504,347.851520631321,228.99743844158456,9.93323709852039,0.001,Minimal,High,Baseline
Svr,-0.08301105044868828,1106.5403010450711,314.67082379896846,56.51766949697681,14.931432695777696,26.4,Medium,Medium,Ensemble/Advanced
[BASELINE] Median,-0.08740894591230441,1108.7847463582668,319.3589588596174,56.087098505207486,10.880548538433779,0.001,Minimal,High,Baseline
[BASELINE] Last Value,-0.08919411387831033,1109.6945031321593,321.43246943341757,56.72033885916509,8.814507398051246,0.001,Minimal,High,Baseline
[BASELINE] Moving Average,-0.08919411387831033,1109.6945031321593,321.43246943341757,56.72033885916509,8.814507398051246,0.001,Minimal,High,Baseline
