iter	RMSE
0	674.9804407
1	648.1912449
2	621.1876953
3	597.1277781
4	572.9186696
5	551.4647121
6	531.5327706
7	511.0863962
8	493.1784
9	475.1381737
10	459.5766488
11	443.4457565
12	429.868688
13	417.128981
14	404.8997526
15	393.8303992
16	383.6067188
17	373.9811592
18	365.1643961
19	355.0909923
20	345.7017768
21	338.4949652
22	329.9976241
23	323.8539656
24	317.4918292
25	312.2500492
26	307.4271321
27	302.9590015
28	298.2192502
29	293.7979091
30	288.2704999
31	283.1761499
32	279.6239969
33	275.2200835
34	271.2337454
35	267.4835727
36	265.0375007
37	261.0580955
38	256.4190467
39	252.5150996
40	249.2685017
41	246.4833495
42	244.659162
43	242.1533503
44	239.9395921
45	237.5306201
46	235.8866794
47	233.8936011
48	231.2160276
49	228.9037203
50	226.7903428
51	225.0911271
52	224.0220137
53	221.8921665
54	220.3083448
55	218.6405111
56	217.1057778
57	216.2163169
58	214.9781891
59	213.3394437
60	212.4539269
61	211.4374356
62	210.7748749
63	209.9849138
64	208.8335002
65	207.9766085
66	206.6897447
67	205.4277526
68	204.8715923
69	204.3683666
70	203.6482332
71	202.7264772
72	202.2498432
73	201.5796768
74	200.53714
75	199.8904781
76	199.3940274
77	198.9896902
78	198.5186766
79	198.1487515
80	197.668237
81	196.8799953
82	196.2794255
83	195.8254418
84	195.4576481
85	194.809143
86	194.3195585
87	193.970758
88	193.5351805
89	193.2462509
90	192.9042046
91	192.5647382
92	192.1382578
93	191.7348327
94	191.380213
95	191.1119638
96	190.8770858
97	190.4510754
98	190.1931853
99	189.9251897
100	189.5356414
101	189.2525243
102	189.0549291
103	188.774341
104	188.5703085
105	188.4371658
106	188.0017953
107	187.9113954
108	187.7360927
109	187.4925051
110	187.1447534
111	186.8946242
112	186.7082478
113	186.5071876
114	186.3313581
115	186.1082919
116	185.9014183
117	185.6610747
118	185.3176804
119	185.1286935
120	184.981311
121	184.7096075
122	184.5057019
123	184.314037
124	184.0837543
125	183.9063417
126	183.7653532
127	183.5996919
128	183.4694661
129	183.3116138
130	183.0471003
131	182.9181088
132	182.7852189
133	182.6689778
134	182.4727392
135	182.3419581
136	182.2226867
137	182.0847586
138	181.8314449
139	181.7007114
140	181.5711295
141	181.4336095
142	181.3073368
143	181.1098601
144	181.0086292
145	180.9055395
146	180.7971773
147	180.6085545
148	180.5411575
149	180.4397751
150	180.271688
151	180.0474284
152	179.8996512
153	179.6654975
154	179.4444065
155	179.3575899
156	179.239275
157	179.166005
158	179.0738554
159	178.8271453
160	178.7347876
161	178.6693837
162	178.5909034
163	178.5025299
164	178.3981617
165	178.3362965
166	178.2420383
167	178.1299723
168	177.9836272
169	177.8427389
170	177.7216154
171	177.6344924
172	177.3518928
173	177.2592853
174	177.1949878
175	177.0541534
176	176.951636
177	176.8873151
178	176.7868153
179	176.6823102
180	176.5752943
181	176.4028541
182	176.2823859
183	176.1253804
184	175.9942544
185	175.8501744
186	175.7230728
187	175.6644652
188	175.4637992
189	175.3026792
190	175.1293201
191	174.9624641
192	174.830635
193	174.7726461
194	174.6358528
195	174.5734618
196	174.4535754
197	174.3985443
198	174.3103173
199	174.2492018
200	174.1873434
201	174.0257636
202	173.8820962
203	173.802219
204	173.7565644
205	173.7142934
206	173.6372657
207	173.5968123
208	173.5192062
209	173.4649625
210	173.2995812
211	173.2204491
212	173.1587494
213	173.1176293
214	173.0661149
215	172.9896044
216	172.777561
217	172.718189
218	172.6596195
219	172.6221039
220	172.5863685
221	172.4506705
222	172.3419592
223	172.2818293
224	172.2299791
225	172.1058466
226	171.9577136
227	171.9118431
228	171.6842085
229	171.6176987
230	171.5743493
231	171.517421
232	171.3763896
233	171.3442501
234	171.2972372
235	171.2463554
236	171.1510865
237	171.0805407
238	171.0073928
239	170.9036111
240	170.858718
241	170.7431821
242	170.6455665
243	170.6121503
244	170.5565722
245	170.4481115
246	170.4147714
247	170.3461796
248	170.2236737
249	170.1767582
250	170.1259263
251	170.0973274
252	170.0510962
253	169.9263243
254	169.8691427
255	169.8037345
256	169.7517839
257	169.7155936
258	169.688381
259	169.5453571
260	169.4942001
261	169.4531021
262	169.4121998
263	169.338581
264	169.2211605
265	169.1881255
266	169.1483764
267	169.1206933
268	169.0346234
269	168.9805924
270	168.9009295
271	168.8116245
272	168.7656076
273	168.6467999
274	168.6076713
275	168.4925753
276	168.4110237
277	168.3758945
278	168.3492194
279	168.2551586
280	168.1145944
281	167.9874242
282	167.855208
283	167.7424501
284	167.7074172
285	167.6834669
286	167.6402394
287	167.5779139
288	167.4943151
289	167.403445
290	167.3691691
291	167.3462298
292	167.3223433
293	167.1831052
294	167.0811824
295	167.0053489
296	166.9278663
297	166.8835736
298	166.8477945
299	166.8170343
