iter	Passed	Remaining
0	106	31703
1	161	24085
2	237	23528
3	398	29466
4	463	27322
5	548	26853
6	603	25260
7	655	23922
8	720	23305
9	773	22433
10	832	21884
11	890	21376
12	947	20916
13	1002	20485
14	1057	20083
15	1197	21263
16	1287	21430
17	1378	21601
18	1461	21614
19	1518	21265
20	1573	20908
21	1629	20594
22	1684	20290
23	1743	20049
24	1796	19761
25	1850	19498
26	1902	19239
27	1958	19029
28	2014	18821
29	2068	18617
30	2118	18385
31	2170	18177
32	2223	17986
33	2267	17743
34	2320	17572
35	2374	17411
36	2445	17382
37	2493	17193
38	2545	17036
39	2594	16867
40	2641	16686
41	2688	16515
42	2744	16401
43	2795	16265
44	2852	16162
45	2898	16004
46	2947	15864
47	2994	15721
48	3045	15597
49	3098	15492
50	3144	15352
51	3199	15261
52	3262	15203
53	3311	15085
54	3357	14956
55	3412	14869
56	3463	14765
57	3528	14724
58	3584	14640
59	3635	14540
60	3679	14417
61	3729	14315
62	3777	14209
63	3823	14098
64	3877	14019
65	3927	13924
66	3976	13828
67	4029	13747
68	4081	13665
69	4129	13568
70	4178	13478
71	4224	13376
72	4269	13275
73	4328	13220
74	4390	13172
75	4458	13140
76	4519	13088
77	4579	13035
78	4644	12993
79	4701	12929
80	4770	12896
81	4849	12893
82	4911	12841
83	4976	12797
84	5042	12753
85	5102	12697
86	5179	12679
87	5247	12640
88	5323	12619
89	5421	12649
90	5511	12658
91	5588	12635
92	5696	12679
93	5787	12683
94	5878	12685
95	5958	12661
96	6043	12648
97	6140	12657
98	6234	12657
99	6322	12644
100	6426	12662
101	6537	12691
102	6621	12664
103	6713	12652
104	6812	12652
105	6907	12642
106	7030	12680
107	7130	12675
108	7225	12661
109	7327	12657
110	7438	12665
111	7549	12672
112	7652	12664
113	7745	12636
114	7861	12647
115	7963	12631
116	8071	12624
117	8169	12601
118	8280	12594
119	8373	12560
120	8492	12563
121	8609	12561
122	8712	12537
123	8818	12517
124	8920	12488
125	9010	12442
126	9090	12383
127	9190	12349
128	9268	12286
129	9358	12237
130	9469	12216
131	9581	12194
132	9686	12163
133	9774	12109
134	9866	12058
135	9962	12014
136	10047	11954
137	10156	11922
138	10245	11867
139	10338	11815
140	10473	11810
141	10578	11770
142	10680	11726
143	10785	11684
144	10876	11626
145	10966	11567
146	11059	11510
147	11150	11451
148	11240	11390
149	11332	11332
150	11443	11292
151	11553	11249
152	11658	11201
153	11743	11133
154	11839	11075
155	11928	11010
156	12011	10940
157	12098	10873
158	12196	10815
159	12298	10760
160	12386	10694
161	12493	10642
162	12597	10588
163	12680	10515
164	12774	10451
165	12854	10376
166	12952	10315
167	13059	10260
168	13149	10192
169	13236	10121
170	13332	10057
171	13437	10000
172	13543	9942
173	13636	9874
174	13737	9812
175	13829	9743
176	13919	9673
177	14028	9614
178	14121	9545
179	14217	9478
180	14312	9409
181	14427	9353
182	14531	9290
183	14621	9217
184	14707	9142
185	14810	9077
186	14916	9013
187	14993	8932
188	15082	8857
189	15176	8786
190	15277	8718
191	15392	8658
192	15498	8592
193	15593	8519
194	15689	8448
195	15776	8371
196	15878	8301
197	15974	8229
198	16069	8155
199	16156	8078
200	16241	7999
201	16337	7926
202	16444	7857
203	16545	7786
204	16630	7706
205	16725	7631
206	16821	7557
207	16909	7479
208	16990	7397
209	17059	7311
210	17161	7238
211	17254	7162
212	17344	7084
213	17457	7015
214	17545	6936
215	17639	6859
216	17732	6782
217	17822	6703
218	17912	6625
219	17980	6538
220	18047	6451
221	18106	6361
222	18158	6270
223	18226	6183
224	18287	6095
225	18349	6008
226	18412	5921
227	18461	5830
228	18522	5742
229	18572	5652
230	18622	5562
231	18667	5471
232	18723	5383
233	18771	5294
234	18825	5207
235	18880	5120
236	18927	5031
237	18976	4943
238	19026	4856
239	19076	4769
240	19128	4682
241	19185	4598
242	19243	4513
243	19310	4431
244	19381	4350
245	19450	4269
246	19518	4188
247	19565	4102
248	19631	4020
249	19686	3937
250	19746	3854
251	19809	3773
252	19896	3696
253	19965	3615
254	20026	3534
255	20074	3450
256	20129	3368
257	20184	3285
258	20244	3204
259	20301	3123
260	20368	3043
261	20417	2961
262	20488	2882
263	20544	2801
264	20598	2720
265	20653	2639
266	20711	2559
267	20765	2479
268	20815	2398
269	20865	2318
270	20919	2238
271	20980	2159
272	21037	2080
273	21090	2001
274	21143	1922
275	21205	1843
276	21261	1765
277	21314	1686
278	21370	1608
279	21422	1530
280	21473	1451
281	21522	1373
282	21571	1295
283	21624	1218
284	21673	1140
285	21721	1063
286	21767	985
287	21817	909
288	21865	832
289	21923	755
290	21971	679
291	22020	603
292	22068	527
293	22117	451
294	22166	375
295	22212	300
296	22265	224
297	22314	149
298	22378	74
299	22441	0
