Feature,Importance
Crop_Encoded,1223
Year,489
Latitude,243
Longitude,201
lat_long_interaction,165
State_Encoded,151
clay_pct,71
tmin_growing_avg,70
rh_growing_avg,45
tavg_growing_avg,44
long_squared,42
County_Encoded,33
tmax_growing_avg,31
temp_prcp_interaction,26
moisture_stress,24
extreme_heat_flag,24
prcp_growing_total,20
gdd_total,19
temp_variability,18
temp_range_avg,16
lat_squared,16
heat_stress_days,12
ph,9
silt_pct,7
organic_matter_pct,1
sand_pct,0
awc,0
cec,0
bulk_density,0
loam_index,0
Year_Since_Start,0
soil_quality_score,0
gdd_per_day,0
Year_Squared,0
